index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,9588,-6881,-3736,-1029
Mar 2015,20742,-10536,-9792,414
Mar 2016,11119,-9233,-1332,555
Mar 2017,9041,-15274,4804,-1429
Mar 2018,11068,-7066,-4218,-215
Mar 2019,10157,-10451,207,-87
Mar 2020,7881,-11135,3583,329
Mar 2021,23455,-2474,-13981,7000
Mar 2022,20336,-8138,-17672,-5474
Mar 2023,12466,-7806,-4402,257
Mar 2024,35936,-10521,-25427,-12
Mar 2025,23678,-19180,-6241,-1743
