index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,264421.0,255007.0,9414.0,4.0,1344.0,1982.0,2611.0,6166.0,34.0,4053.0,9.01,31.0
Mar 2015,242598.0,232818.0,9780.0,4.0,2117.0,1180.0,3027.0,7690.0,34.0,5082.0,11.08,34.0
Mar 2016,187815.0,174844.0,12971.0,7.0,1913.0,680.0,2072.0,12132.0,33.0,8089.0,18.64,25.0
Mar 2017,201251.0,187468.0,13783.0,7.0,2721.0,696.0,2108.0,13700.0,31.0,9507.0,20.1,49.0
Mar 2018,235895.0,220578.0,15317.0,6.0,2927.0,1186.0,2885.0,14174.0,31.0,9792.0,20.76,46.0
Mar 2019,298226.0,283113.0,15112.0,5.0,2975.0,1764.0,3418.0,12905.0,34.0,8528.0,17.98,48.0
Mar 2020,284572.0,275597.0,8975.0,3.0,1393.0,2637.0,4080.0,3652.0,-0.0,3666.0,7.04,106.0
Mar 2021,230171.0,209170.0,21001.0,9.0,7489.0,1723.0,4334.0,22432.0,23.0,17320.0,37.26,102.0
Mar 2022,346791.0,327654.0,19137.0,6.0,4939.0,2606.0,5434.0,16037.0,27.0,11682.0,26.93,29.0
Mar 2023,473187.0,462288.0,10899.0,2.0,2036.0,3745.0,6369.0,2821.0,24.0,2131.0,4.91,40.0
Mar 2024,448083.0,404001.0,44082.0,10.0,3032.0,4149.0,6771.0,36194.0,26.0,26859.0,61.91,33.0
Mar 2025,440272.0,414870.0,25401.0,6.0,3629.0,3591.0,7257.0,18182.0,27.0,13337.0,30.74,32.0
