index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,104080.0,98126.0,5954.0,6.0,1131.0,752.0,1603.0,4730.0,41.0,2803.0,6.46
Jun 2022,121082.0,126906.0,-5824.0,-5.0,615.0,710.0,1617.0,-7537.0,-18.0,-6148.0,-14.17
Sep 2022,114820.0,113406.0,1415.0,1.0,673.0,937.0,1561.0,-410.0,-17.0,-338.0,-0.78
Dec 2022,119170.0,114957.0,4213.0,4.0,415.0,1128.0,1586.0,1913.0,9.0,1747.0,4.03
Mar 2023,118115.0,107031.0,11085.0,9.0,523.0,1148.0,1605.0,8854.0,22.0,6870.0,15.84
Jun 2023,112985.0,97200.0,15785.0,14.0,1003.0,1071.0,1614.0,14103.0,25.0,10644.0,24.53
Sep 2023,103044.0,90104.0,12941.0,13.0,911.0,1190.0,1605.0,11056.0,25.0,8244.0,19.0
Dec 2023,115499.0,109300.0,6199.0,5.0,919.0,920.0,1830.0,4367.0,27.0,3181.0,7.33
Mar 2024,116555.0,107600.0,8955.0,8.0,403.0,967.0,1722.0,6669.0,28.0,4790.0,11.04
Jun 2024,113095.0,107468.0,5627.0,5.0,807.0,889.0,1686.0,3859.0,26.0,2842.0,6.55
Sep 2024,102785.0,98268.0,4517.0,4.0,1278.0,923.0,1779.0,3094.0,26.0,2297.0,5.29
Dec 2024,113166.0,105710.0,7456.0,7.0,548.0,861.0,1810.0,5333.0,29.0,3806.0,8.77
Mar 2025,111230.0,103494.0,7737.0,7.0,1061.0,919.0,1982.0,5897.0,26.0,4392.0,10.12
