index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,339,13660,47995,35002,96996,38966,6157,5691,46183,96996
Mar 2015,339,13585,36916,34905,85745,45425,3950,6113,30257,85745
Mar 2016,339,16325,22160,30729,69553,34086,1914,9185,24368,69553
Mar 2017,1016,20055,22130,37127,80329,36876,1867,11773,29811,80329
Mar 2018,1524,24008,21952,42197,89681,38695,4011,12882,34094,89681
Mar 2019,1524,28876,28192,48762,107354,41642,9519,14297,41896,107354
Mar 2020,1524,29456,44001,41935,116918,48952,17170,14396,36400,116918
Mar 2021,1452,36628,43709,52438,134228,50912,25336,15093,42887,134228
Mar 2022,1419,39985,48498,64774,154676,58126,28907,18867,48775,154676
Mar 2023,1419,30844,70671,59034,161968,68387,25607,23689,44284,161968
Mar 2024,1419,45502,66684,69205,182810,79763,20078,29540,53429,182810
Mar 2025,2128,49016,70558,73042,194745,86211,17935,27046,63552,194745
