index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,7007,-5152,-1256,600
Mar 2015,19410,-5667,-14699,-956
Mar 2016,6651,-4272,-3674,-1295
Mar 2017,10254,-5304,-4239,712
Mar 2018,11037,-7398,-4423,-784
Mar 2019,8554,-11382,2598,-230
Mar 2020,5469,-14168,8452,-247
Mar 2021,17829,-12279,-4709,841
Mar 2022,15810,-13745,-2066,-1
Mar 2023,-3466,-11384,16025,1175
Mar 2024,23852,-13019,-16155,-5322
Mar 2025,14228,-10557,-4138,-467
