index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,234237.0,228875.0,5363.0,2.0,1366.0,2393.0,3011.0,1325.0,19.0,1080.0,4.73,49.0
Mar 2015,216648.0,211916.0,4733.0,2.0,1836.0,1841.0,2497.0,2231.0,33.0,1489.0,6.56,55.0
Mar 2016,177910.0,169575.0,8335.0,5.0,1970.0,723.0,2846.0,6735.0,31.0,4675.0,20.45,25.0
Mar 2017,187493.0,176607.0,10886.0,6.0,3697.0,609.0,2776.0,11197.0,26.0,8236.0,36.03,37.0
Mar 2018,219510.0,208732.0,10778.0,5.0,2785.0,618.0,2834.0,10110.0,29.0,7218.0,31.58,36.0
Mar 2019,275491.0,263963.0,11527.0,4.0,2383.0,786.0,3085.0,10039.0,33.0,6691.0,29.27,36.0
Mar 2020,269092.0,263887.0,5204.0,2.0,679.0,1139.0,3370.0,1374.0,-92.0,2639.0,11.54,56.0
Mar 2021,233248.0,217194.0,16055.0,7.0,2731.0,963.0,3625.0,14197.0,25.0,10663.0,48.83,31.0
Mar 2022,349913.0,339669.0,10244.0,3.0,3897.0,997.0,4000.0,9144.0,20.0,7294.0,34.28,27.0
Mar 2023,440709.0,447916.0,-7207.0,-2.0,3957.0,2174.0,4560.0,-9984.0,-30.0,-6980.0,-32.8,0.0
Mar 2024,433857.0,408929.0,24928.0,6.0,3725.0,2556.0,5596.0,20500.0,22.0,16015.0,75.26,28.0
Mar 2025,434106.0,417675.0,16432.0,4.0,2088.0,3365.0,6154.0,9000.0,25.0,6736.0,31.66,33.0
