index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,97635.0,94829.0,2806.0,3.0,1112.0,335.0,1079.0,2503.0,19.0,2018.0,9.49
Jun 2022,114502.0,126998.0,-12496.0,-11.0,2011.0,340.0,1106.0,-11931.0,-28.0,-8557.0,-40.22
Sep 2022,108462.0,110233.0,-1771.0,-2.0,280.0,603.0,1094.0,-3187.0,-22.0,-2476.0,-11.63
Dec 2022,109688.0,108014.0,1674.0,2.0,564.0,693.0,1123.0,422.0,-5.0,444.0,2.09
Mar 2023,108056.0,102927.0,5130.0,5.0,1358.0,537.0,1238.0,4713.0,23.0,3608.0,16.96
Jun 2023,112079.0,102434.0,9646.0,9.0,1299.0,627.0,1371.0,8947.0,24.0,6766.0,31.8
Sep 2023,95752.0,87512.0,8240.0,9.0,1040.0,590.0,1247.0,7443.0,22.0,5827.0,27.38
Dec 2023,111348.0,109187.0,2160.0,2.0,791.0,620.0,1345.0,986.0,28.0,713.0,3.35
Mar 2024,114678.0,109796.0,4882.0,4.0,594.0,720.0,1632.0,3124.0,13.0,2709.0,12.73
Jun 2024,113888.0,111800.0,2089.0,2.0,933.0,733.0,1484.0,805.0,21.0,634.0,2.98
Sep 2024,99977.0,97661.0,2316.0,2.0,506.0,944.0,1530.0,348.0,59.0,143.0,0.67
Dec 2024,110608.0,105113.0,5495.0,5.0,462.0,931.0,1518.0,3509.0,28.0,2544.0,11.95
Mar 2025,109633.0,103837.0,5795.0,5.0,923.0,757.0,1623.0,4338.0,21.0,3415.0,16.05
