index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,2428,65485,94916,103124,265953,72554,38061,15895,139443,265953
Mar 2015,2428,66404,64893,100158,233883,76781,40378,16069,100655,233883
Mar 2016,2370,87610,58552,83184,231715,100033,26219,31185,74278,231715
Mar 2017,4739,97357,63271,108352,273719,115958,16778,43687,97295,273719
Mar 2018,9479,104395,65650,116336,295860,124053,19130,44806,107871,295860
Mar 2019,9181,103288,96765,126128,335363,132494,28281,44112,130476,335363
Mar 2020,9181,86217,129790,104773,329962,147022,32845,35571,114524,329962
Mar 2021,9181,102657,116649,126658,355145,157085,36291,44717,117053,355145
Mar 2022,9181,124354,132020,145327,410882,160514,47469,52352,150546,410882
Mar 2023,13772,125949,148977,153298,441995,180048,51133,52190,158624,441995
Mar 2024,13772,169645,132628,166639,482683,195998,61032,65542,160111,482683
Mar 2025,13772,172716,152271,168109,506867,205323,73740,67218,160585,506867
