index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,24195,-18594,-3116,2485
Mar 2015,46092,-10215,-38283,-2406
Mar 2016,25624,-13610,-11890,124
Mar 2017,28216,-17684,-10937,-405
Mar 2018,29115,-17119,-12007,-11
Mar 2019,12747,-22569,10436,614
Mar 2020,7146,-29101,22456,502
Mar 2021,49650,-22935,-27369,-653
Mar 2022,25747,-21294,-4058,395
Mar 2023,29644,-28030,-1794,-180
Mar 2024,71099,-31464,-39385,250
Mar 2025,34699,-31848,-3425,-573
