index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,175292.0,161019.0,14273.0,8.0,717.0,1806.0,3292.0,9891.0,28.0,7089.0,4.71
Jun 2022,223411.0,217996.0,5415.0,2.0,994.0,1908.0,3158.0,1344.0,34.0,883.0,-0.2
Sep 2022,208757.0,205477.0,3280.0,2.0,1031.0,1554.0,3283.0,-527.0,73.0,-910.0,-0.7
Dec 2022,205715.0,201411.0,4304.0,2.0,1731.0,2122.0,3451.0,462.0,-93.0,890.0,0.55
Mar 2023,203872.0,186236.0,17637.0,9.0,1368.0,1957.0,3288.0,13759.0,21.0,10841.0,7.29
Jun 2023,198551.0,174851.0,23700.0,12.0,970.0,1743.0,3476.0,19450.0,24.0,14735.0,10.22
Sep 2023,179246.0,156075.0,23171.0,13.0,829.0,1977.0,3610.0,18413.0,26.0,13713.0,9.29
Dec 2023,199906.0,183172.0,16733.0,8.0,1916.0,1958.0,4686.0,12005.0,23.0,9225.0,6.39
Mar 2024,198650.0,186675.0,11975.0,6.0,1686.0,2147.0,4094.0,7420.0,26.0,5488.0,3.65
Jun 2024,193845.0,183925.0,9920.0,5.0,1104.0,2080.0,4103.0,4841.0,23.0,3723.0,2.5
Sep 2024,174976.0,171509.0,3467.0,2.0,2556.0,2546.0,4065.0,-589.0,-24.0,-449.0,-0.12
Dec 2024,194014.0,186442.0,7573.0,4.0,1936.0,2458.0,4284.0,2766.0,22.0,2147.0,1.5
Mar 2025,195270.0,180241.0,15029.0,8.0,1519.0,2178.0,4325.0,10045.0,17.0,8368.0,5.75
