index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,8245,72995,70419,27116,178776,71833,46555,4923,55465,178776
Mar 2014,8245,79084,81455,31334,200118,84208,53825,3300,58785,200118
Mar 2015,8245,73849,102252,35366,219712,91853,67555,1902,58403,219712
Mar 2016,8245,83330,99424,33666,224665,92929,75046,6473,50217,224665
Mar 2017,8245,89593,113773,36990,248601,104532,86896,7614,49560,248601
Mar 2018,8245,95318,130049,48880,282492,128245,83386,8876,61985,282492
Mar 2019,9895,101462,173058,62509,346923,150985,118397,8132,69409,346923
Mar 2020,9895,108945,202984,55746,377569,187803,98508,9307,81951,377569
Mar 2021,9697,116042,210208,62075,398022,203245,97506,10589,86681,398022
Mar 2022,9697,125677,210707,69751,415831,224923,91126,10626,89156,415831
Mar 2023,9697,137326,222913,77253,447189,240424,89179,13935,103651,447189
Mar 2024,9697,151013,237131,81437,479278,258934,87664,15885,116795,479278
Sep 2024,9697,158575,242009,81950,492230,259252,95612,16500,120866,492230
