index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,16508,-16845,988,651
Mar 2014,16531,-15509,-2709,-1687
Mar 2015,14889,-15977,-1474,-2563
Mar 2016,24125,-19162,-3899,1064
Mar 2017,20167,-24480,3138,-1176
Mar 2018,19670,-20678,1028,19
Mar 2019,18686,-24063,4927,-451
Mar 2020,23890,-29628,6004,266
Mar 2021,32444,-21034,-11049,360
Mar 2022,41788,-22891,-19172,-274
Mar 2023,47152,-26145,-21217,-210
Mar 2024,40785,-32141,-8246,398
