index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,71518.0,53370.0,18149.0,25.0,4777.0,2491.0,3823.0,16611.0,24.0,12586.0,12.72,38.0
Mar 2014,78330.0,58603.0,19727.0,25.0,2792.0,3263.0,4770.0,14486.0,21.0,11403.0,11.53,42.0
Mar 2015,79957.0,62605.0,17352.0,22.0,2338.0,3669.0,5565.0,10456.0,4.0,9992.0,10.09,21.0
Mar 2016,73396.0,54829.0,18568.0,25.0,1188.0,3366.0,5771.0,10618.0,-2.0,10781.0,10.92,26.0
Mar 2017,82042.0,60445.0,21598.0,26.0,1592.0,3753.0,6010.0,13426.0,20.0,10714.0,10.83,37.0
Mar 2018,88083.0,65598.0,22485.0,26.0,5576.0,4447.0,7460.0,16154.0,35.0,10502.0,10.66,40.0
Mar 2019,100287.0,77576.0,22710.0,23.0,2818.0,5605.0,8669.0,11255.0,-25.0,14034.0,13.88,44.0
Mar 2020,109464.0,77878.0,31586.0,29.0,8209.0,8189.0,10356.0,21250.0,44.0,11902.0,11.72,27.0
Mar 2021,111531.0,77487.0,34044.0,31.0,5021.0,9224.0,12450.0,17390.0,14.0,14969.0,15.09,41.0
Mar 2022,132669.0,92307.0,40362.0,30.0,4809.0,9376.0,13788.0,22007.0,23.0,16960.0,17.2,41.0
Mar 2023,176207.0,128611.0,47596.0,27.0,2561.0,11447.0,14792.0,23917.0,28.0,17121.0,17.44,42.0
Mar 2024,178501.0,127045.0,51456.0,29.0,5190.0,12301.0,16204.0,28142.0,24.0,21332.0,21.46,36.0
TTM,185892.0,133499.0,52392.0,28.0,6831.0,12475.0,17009.0,29739.0,,22546.0,22.67,
