index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,33293.0,22319.0,10974.0,33.0,799.0,2232.0,3452.0,6089.0,24.0,4626.0,4.64
Mar 2022,37085.0,25659.0,11426.0,31.0,1027.0,2408.0,3821.0,6224.0,16.0,5200.0,5.33
Jun 2022,43177.0,32381.0,10796.0,25.0,730.0,2477.0,3542.0,5508.0,28.0,3978.0,4.06
Sep 2022,44175.0,33808.0,10367.0,23.0,1380.0,2652.0,3687.0,5408.0,37.0,3418.0,3.44
Dec 2022,44602.0,31783.0,12819.0,29.0,747.0,3168.0,3715.0,6683.0,27.0,4854.0,4.93
Mar 2023,44253.0,32311.0,11942.0,27.0,1084.0,2860.0,3848.0,6318.0,23.0,4872.0,5.01
Jun 2023,43075.0,30664.0,12411.0,29.0,994.0,2922.0,3821.0,6661.0,26.0,4907.0,5.03
Sep 2023,44983.0,32303.0,12680.0,28.0,1024.0,2921.0,4038.0,6746.0,30.0,4726.0,4.76
Dec 2023,42820.0,31458.0,11362.0,27.0,2532.0,3250.0,4074.0,6571.0,21.0,5209.0,5.32
Mar 2024,47622.0,33638.0,13984.0,29.0,1406.0,2955.0,4271.0,8164.0,20.0,6490.0,6.36
Jun 2024,48521.0,35091.0,13429.0,28.0,1195.0,3136.0,4204.0,7284.0,24.0,5506.0,5.65
Sep 2024,44696.0,33041.0,11655.0,26.0,3227.0,3621.0,4216.0,7046.0,24.0,5380.0,5.44
Dec 2024,45053.0,31729.0,13324.0,30.0,1003.0,2764.0,4318.0,7245.0,29.0,5170.0,5.22
