index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,11690,-22084,9962,-432
Mar 2014,15223,-26639,13712,2295
Mar 2015,15800,-24185,6399,-1986
Mar 2016,15008,-21576,5621,-948
Mar 2017,21575,-23836,3959,1698
Mar 2018,22710,-25701,1285,-1707
Mar 2019,23271,-18727,-2431,2113
Mar 2020,30739,-10733,-18806,1199
Mar 2021,29403,-9244,-20521,-362
Mar 2022,26124,753,-28967,-2091
Mar 2023,40203,-7138,-30450,2615
Mar 2024,37290,-13114,-25903,-1728
