index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,10447.0,1415.0,9032.0,86.0,277.0,1845.0,3286.0,4178.0,21.0,3293.0,3.54
Mar 2022,10687.0,1983.0,8704.0,81.0,737.0,2091.0,3279.0,4071.0,-2.0,4156.0,4.47
Jun 2022,10905.0,1661.0,9245.0,85.0,342.0,1960.0,3295.0,4331.0,12.0,3801.0,4.09
Sep 2022,11151.0,1785.0,9366.0,84.0,199.0,2187.0,3317.0,4060.0,10.0,3650.0,3.92
Dec 2022,11262.0,1368.0,9893.0,88.0,500.0,3012.0,3407.0,3975.0,8.0,3645.0,3.92
Mar 2023,12264.0,1433.0,10831.0,88.0,294.0,2475.0,3314.0,5335.0,19.0,4323.0,4.65
Jun 2023,11048.0,1716.0,9332.0,84.0,209.0,2057.0,3266.0,4218.0,15.0,3597.0,3.87
Sep 2023,11267.0,1557.0,9710.0,86.0,263.0,2341.0,3277.0,4355.0,13.0,3781.0,4.07
Dec 2023,11550.0,1375.0,10175.0,88.0,380.0,2446.0,3293.0,4816.0,16.0,4028.0,4.33
Mar 2024,11978.0,2055.0,9923.0,83.0,389.0,1928.0,3259.0,5125.0,19.0,4166.0,4.48
Jun 2024,11006.0,1466.0,9540.0,87.0,302.0,2039.0,3200.0,4603.0,19.0,3724.0,4.0
Sep 2024,11278.0,1681.0,9597.0,85.0,814.0,2441.0,3292.0,4678.0,19.0,3793.0,4.08
Dec 2024,11233.0,1700.0,9533.0,85.0,552.0,1917.0,3216.0,4952.0,22.0,3862.0,4.15
