index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,43261,-73070,13713,-16096
Mar 2015,34374,-64706,8444,-21888
Mar 2016,38134,-36186,-3210,-1262
Mar 2017,49550,-66201,8617,-8034
Mar 2018,71459,-68192,-2001,1266
Mar 2019,42346,-94507,55906,3745
Mar 2020,94877,-72497,-2541,19839
Mar 2021,26958,-142385,101904,-13523
Mar 2022,110654,-109162,17289,18781
Mar 2023,115032,-93001,10455,32486
Mar 2024,158788,-113581,-16646,28561
Mar 2025,178703,-137535,-31891,9277
