index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,207375.0,176009.0,31366.0,15.0,2602.0,3556.0,8001.0,22411.0,20.0,18021.0,11.98
Jun 2022,218855.0,181157.0,37698.0,17.0,2275.0,3997.0,8942.0,27034.0,28.0,19443.0,13.27
Sep 2022,229409.0,198438.0,30971.0,14.0,3656.0,4554.0,9726.0,20347.0,24.0,15512.0,10.09
Dec 2022,216737.0,181728.0,35009.0,16.0,3377.0,5201.0,10183.0,23002.0,23.0,17806.0,11.67
Mar 2023,212834.0,174478.0,38356.0,18.0,2996.0,5819.0,11452.0,24081.0,11.0,21327.0,14.26
Jun 2023,207559.0,169466.0,38093.0,18.0,3813.0,5837.0,11775.0,24294.0,25.0,18258.0,11.83
Sep 2023,231886.0,190918.0,40968.0,18.0,3841.0,5731.0,12585.0,26493.0,25.0,19878.0,12.85
Dec 2023,225086.0,184430.0,40656.0,18.0,3869.0,5789.0,12903.0,25833.0,25.0,19641.0,12.76
Mar 2024,236533.0,194017.0,42516.0,18.0,4534.0,5761.0,13569.0,27720.0,24.0,21243.0,14.01
Jun 2024,231784.0,193019.0,38765.0,17.0,3983.0,5918.0,13596.0,23234.0,25.0,17445.0,11.19
Sep 2024,231535.0,192477.0,39058.0,17.0,4876.0,6017.0,12880.0,25037.0,24.0,19323.0,12.24
Dec 2024,239986.0,196197.0,43789.0,18.0,4214.0,6179.0,13181.0,28643.0,24.0,21930.0,13.7
Mar 2025,261388.0,217556.0,43832.0,17.0,4905.0,6155.0,13479.0,29103.0,23.0,22611.0,14.34
