index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,237,12098,37882,17038,67257,41353,2358,3120,20426,67257
Mar 2014,237,12164,40173,18810,71383,43394,3389,3019,21582,71383
Mar 2015,270,14048,40607,20260,75185,44726,3323,3445,23692,75185
Mar 2016,270,11363,38849,19575,70057,36414,1345,11785,20513,70057
Mar 2017,270,12944,48815,20799,82829,46595,2178,11873,22184,82829
Mar 2018,270,16129,48589,16903,81892,44656,1653,12429,23154,81892
Mar 2019,270,18035,48506,17262,84073,44305,2576,13542,23651,84073
Mar 2020,270,19296,51936,18172,89674,47666,1612,14535,25861,89674
Mar 2021,320,22003,46708,29625,98655,52179,3270,13149,30056,98655
Mar 2022,320,22122,51195,38913,112550,57389,4635,14160,36365,112550
Mar 2023,320,28468,52923,46386,128096,61747,5376,16670,44303,128096
Mar 2024,320,32036,53689,53010,139054,67210,11561,16316,43968,139054
Sep 2024,320,33360,58314,53137,145130,70167,14306,15441,45216,145130
