index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,33177.0,27583.0,5595.0,17.0,375.0,2642.0,2052.0,1277.0,92.0,123.0,-0.32,-319.0
Mar 2014,35726.0,28810.0,6916.0,19.0,229.0,3440.0,2730.0,975.0,103.0,12.0,-0.96,-114.0
Mar 2015,33593.0,27292.0,6301.0,19.0,1056.0,3699.0,2174.0,1484.0,72.0,457.0,0.62,210.0
Mar 2016,29494.0,27389.0,2105.0,7.0,4060.0,3236.0,1649.0,1281.0,53.0,786.0,2.45,53.0
Mar 2017,27588.0,22114.0,5473.0,20.0,1297.0,3365.0,1956.0,1450.0,24.0,1100.0,3.31,39.0
Mar 2018,26840.0,24545.0,2295.0,9.0,6586.0,3761.0,2346.0,2773.0,6.0,2611.0,8.9,15.0
Mar 2019,29881.0,26811.0,3070.0,10.0,7186.0,4170.0,2393.0,3693.0,29.0,2606.0,8.71,15.0
Mar 2020,29136.0,22331.0,6805.0,23.0,2280.0,4494.0,2634.0,1958.0,33.0,1316.0,3.76,41.0
Mar 2021,32703.0,25782.0,6921.0,21.0,1775.0,4010.0,2745.0,1941.0,26.0,1439.0,3.53,44.0
Mar 2022,42816.0,35785.0,7031.0,16.0,2486.0,3859.0,3122.0,2535.0,15.0,2156.0,5.45,32.0
Mar 2023,55109.0,47381.0,7728.0,14.0,5540.0,4372.0,3439.0,5457.0,30.0,3810.0,10.44,19.0
Mar 2024,61449.0,50714.0,10735.0,17.0,3416.0,4633.0,3786.0,5732.0,25.0,4280.0,11.57,17.0
TTM,64229.0,52510.0,11719.0,18.0,3205.0,4625.0,4041.0,6257.0,,4515.0,11.97,
