index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,10913.0,9279.0,1634.0,15.0,865.0,953.0,758.0,788.0,30.0,552.0,1.33
Mar 2022,11960.0,10091.0,1869.0,16.0,62.0,1015.0,846.0,71.0,-794.0,632.0,1.57
Jun 2022,14495.0,12812.0,1683.0,12.0,1227.0,1026.0,822.0,1062.0,17.0,884.0,2.49
Sep 2022,14031.0,12270.0,1760.0,13.0,1502.0,1052.0,838.0,1373.0,32.0,935.0,2.56
Dec 2022,14129.0,11810.0,2319.0,16.0,1497.0,1098.0,853.0,1864.0,44.0,1052.0,2.96
Mar 2023,12454.0,10526.0,1928.0,15.0,1352.0,1196.0,926.0,1158.0,19.0,939.0,2.43
Jun 2023,15213.0,12500.0,2713.0,18.0,877.0,1221.0,893.0,1476.0,23.0,1141.0,3.04
Sep 2023,15738.0,12967.0,2771.0,18.0,567.0,1182.0,926.0,1231.0,17.0,1017.0,2.74
Dec 2023,14651.0,12234.0,2417.0,16.0,1092.0,1094.0,926.0,1489.0,28.0,1076.0,2.98
Mar 2024,15847.0,13540.0,2307.0,15.0,1407.0,1136.0,1041.0,1537.0,32.0,1046.0,2.8
Jun 2024,17294.0,14232.0,3062.0,18.0,578.0,1176.0,973.0,1490.0,20.0,1189.0,3.04
Sep 2024,15698.0,12427.0,3271.0,21.0,632.0,1143.0,987.0,1773.0,38.0,1093.0,2.9
Dec 2024,15391.0,12312.0,3079.0,20.0,589.0,1170.0,1041.0,1457.0,18.0,1188.0,3.23
