index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,472,5631,8050,3125,17278,7758,6163,367,2990,17278
Mar 2014,472,5733,9463,3457,19126,10185,4550,866,3525,19126
Mar 2015,472,6083,9355,3722,19632,15088,233,607,3705,19632
Mar 2016,481,5990,8515,4626,19612,15139,213,511,3748,19612
Mar 2017,481,6411,8768,5132,20793,16804,332,671,2986,20793
Mar 2018,481,7239,9298,5571,22589,17871,393,873,3453,22589
Mar 2019,481,8490,9715,5865,24550,18014,359,914,5263,24550
Mar 2020,481,8673,8908,5541,23603,17569,568,724,4743,23603
Mar 2021,481,9704,7817,5513,23514,17326,838,466,4885,23514
Mar 2022,481,9463,9143,5902,24988,17097,1297,407,6187,24988
Mar 2023,481,10529,10541,8320,29872,19269,2625,804,7174,29872
Mar 2024,481,11581,11632,9633,33326,21802,2472,954,8097,33326
Sep 2024,481,12835,11567,10690,35574,22724,2144,950,9756,35574
