index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,8181.0,6819.0,1362.0,17.0,132.0,438.0,427.0,630.0,39.0,387.0,8.19,24.0
Mar 2014,8641.0,7310.0,1331.0,15.0,233.0,705.0,585.0,275.0,61.0,108.0,2.23,22.0
Mar 2015,10348.0,8246.0,2103.0,20.0,320.0,962.0,720.0,740.0,51.0,363.0,7.61,20.0
Mar 2016,11680.0,8681.0,2999.0,26.0,337.0,1131.0,916.0,1290.0,30.0,902.0,18.73,24.0
Mar 2017,9960.0,7487.0,2472.0,25.0,179.0,1058.0,1006.0,587.0,27.0,430.0,8.92,25.0
Mar 2018,11512.0,8364.0,3148.0,27.0,232.0,848.0,1132.0,1401.0,32.0,952.0,19.61,26.0
Mar 2019,13151.0,9934.0,3217.0,24.0,172.0,899.0,1227.0,1264.0,28.0,904.0,18.7,27.0
Mar 2020,13641.0,10045.0,3596.0,26.0,-862.0,955.0,1304.0,475.0,-148.0,1179.0,24.43,47.0
Mar 2021,12173.0,8695.0,3477.0,29.0,130.0,776.0,1280.0,1552.0,16.0,1296.0,26.86,41.0
Mar 2022,14258.0,10643.0,3615.0,25.0,-1089.0,628.0,1334.0,564.0,19.0,459.0,9.45,95.0
Mar 2023,25694.0,20906.0,4789.0,19.0,352.0,818.0,1281.0,3041.0,29.0,2165.0,44.06,59.0
Mar 2024,27183.0,22587.0,4596.0,17.0,307.0,943.0,1378.0,2583.0,27.0,1896.0,38.14,42.0
TTM,29238.0,23952.0,5286.0,18.0,470.0,1042.0,1463.0,3251.0,,2428.0,48.63,
