index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,3767.0,2833.0,934.0,25.0,66.0,157.0,334.0,509.0,27.0,369.0,7.66
Mar 2022,3744.0,2753.0,991.0,26.0,-1203.0,151.0,340.0,-703.0,-31.0,-487.0,-10.15
Jun 2022,6510.0,5450.0,1060.0,16.0,108.0,186.0,312.0,671.0,25.0,502.0,10.45
Sep 2022,6703.0,5539.0,1164.0,17.0,94.0,215.0,319.0,725.0,33.0,484.0,10.02
Dec 2022,6443.0,4999.0,1444.0,22.0,84.0,228.0,322.0,977.0,29.0,695.0,14.24
Mar 2023,6038.0,4947.0,1090.0,18.0,96.0,189.0,329.0,668.0,28.0,484.0,9.34
Jun 2023,7328.0,6143.0,1185.0,16.0,86.0,227.0,332.0,711.0,25.0,532.0,10.76
Sep 2023,6961.0,5740.0,1221.0,18.0,108.0,247.0,342.0,741.0,27.0,543.0,10.94
Dec 2023,6366.0,5322.0,1044.0,16.0,54.0,235.0,349.0,513.0,27.0,374.0,7.49
Mar 2024,6529.0,5420.0,1109.0,17.0,97.0,233.0,355.0,617.0,28.0,447.0,8.95
Jun 2024,9034.0,7176.0,1858.0,21.0,76.0,260.0,359.0,1315.0,24.0,996.0,20.23
Sep 2024,7176.0,5968.0,1207.0,17.0,125.0,272.0,371.0,689.0,28.0,496.0,10.01
Dec 2024,6499.0,5388.0,1112.0,17.0,172.0,276.0,378.0,630.0,22.0,489.0,9.44
