index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,24,774,150,1159,2107,848,107,198,954,2107
Mar 2015,24,1221,145,1403,2793,844,48,518,1383,2793
Mar 2016,24,2068,131,1271,3494,950,90,788,1665,3494
Mar 2017,24,2672,125,1288,4109,1160,30,487,2432,4109
Mar 2018,24,3382,201,1581,5188,1346,203,1079,2560,5188
Mar 2019,24,4229,156,1829,6238,1688,101,1476,2972,6238
Mar 2020,24,4379,1538,1889,7830,1878,40,2893,3019,7830
Mar 2021,24,3524,2122,2331,8000,1793,117,2781,3310,8000
Mar 2022,24,2534,2481,2487,7527,1753,536,1762,3475,7527
Mar 2023,24,3510,2997,2819,9351,2655,105,3324,3266,9351
Mar 2024,24,3917,2065,3065,9072,2771,188,2767,3346,9072
Mar 2025,24,4332,1247,3236,8839,2904,89,2865,2980,8839
