index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,6913.0,6286.0,627.0,9.0,34.0,8.0,83.0,569.0,30.0,395.0,16.48,36.0
Mar 2015,7858.0,6988.0,870.0,11.0,228.0,4.0,144.0,950.0,28.0,689.0,28.71,28.0
Mar 2016,8397.0,7174.0,1224.0,15.0,115.0,5.0,113.0,1220.0,32.0,825.0,34.36,29.0
Mar 2017,9054.0,7776.0,1278.0,14.0,151.0,5.0,119.0,1304.0,32.0,885.0,36.85,30.0
Mar 2018,9914.0,8413.0,1501.0,15.0,166.0,8.0,142.0,1518.0,34.0,1004.0,41.83,30.0
Mar 2019,11055.0,9322.0,1732.0,16.0,206.0,9.0,162.0,1768.0,35.0,1155.0,48.23,31.0
Mar 2020,11600.0,9756.0,1843.0,16.0,263.0,77.0,185.0,1844.0,24.0,1394.0,58.33,60.0
Mar 2021,13136.0,10627.0,2509.0,19.0,313.0,111.0,198.0,2514.0,26.0,1851.0,77.38,204.0
Mar 2022,14136.0,11935.0,2201.0,16.0,222.0,144.0,201.0,2078.0,27.0,1516.0,63.31,89.0
Mar 2023,16301.0,13470.0,2831.0,17.0,597.0,169.0,226.0,3033.0,24.0,2316.0,96.39,75.0
Mar 2024,16769.0,13603.0,3167.0,19.0,211.0,164.0,300.0,2913.0,27.0,2134.0,88.84,83.0
Mar 2025,17943.0,14766.0,3176.0,18.0,202.0,139.0,313.0,2927.0,26.0,2178.0,90.45,83.0
