index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,174,2482,708,1948,5312,1767,22,1076,2447,5312
Mar 2015,176,3178,734,2019,6106,1877,50,1813,2365,6106
Mar 2016,176,3995,805,1956,6932,1667,45,2691,2529,6932
Mar 2017,176,4671,975,1910,7732,1958,42,3240,2492,7732
Mar 2018,176,5530,938,2058,8702,2028,42,3805,2827,8702
Mar 2019,177,5455,699,2106,8437,1969,64,3359,3045,8437
Mar 2020,177,6429,522,2209,9337,2253,147,2800,4137,9337
Mar 2021,177,7487,509,2661,10833,2243,147,4160,4283,10833
Mar 2022,177,8205,1030,2872,12284,2308,168,6220,3589,12284
Mar 2023,177,8796,1174,3505,13652,3579,175,6265,3633,13652
Mar 2024,177,9689,1365,3885,15116,3815,232,6933,4136,15116
Mar 2025,177,10623,950,4481,16232,3992,166,7468,4606,16232
