index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,7058.0,5897.0,1162.0,16.0,126.0,54.0,97.0,1136.0,19.0,916.0,5.24,33.0
Mar 2015,7795.0,6475.0,1320.0,17.0,154.0,40.0,115.0,1319.0,19.0,1068.0,6.07,33.0
Mar 2016,7780.0,6261.0,1518.0,20.0,217.0,48.0,133.0,1554.0,19.0,1254.0,7.11,32.0
Mar 2017,7614.0,6102.0,1512.0,20.0,296.0,54.0,143.0,1611.0,21.0,1280.0,7.25,31.0
Mar 2018,7722.0,6104.0,1617.0,21.0,291.0,53.0,162.0,1693.0,20.0,1358.0,7.69,81.0
Mar 2019,8515.0,6775.0,1740.0,20.0,222.0,60.0,177.0,1725.0,16.0,1446.0,8.17,34.0
Mar 2020,8685.0,6892.0,1792.0,21.0,205.0,50.0,220.0,1728.0,16.0,1448.0,8.18,37.0
Mar 2021,9562.0,7560.0,2002.0,21.0,325.0,31.0,240.0,2056.0,18.0,1695.0,9.58,50.0
Mar 2022,10889.0,8637.0,2252.0,21.0,308.0,39.0,253.0,2269.0,23.0,1742.0,9.84,53.0
Mar 2023,11530.0,9367.0,2162.0,19.0,445.0,78.0,311.0,2219.0,23.0,1701.0,9.64,54.0
Mar 2024,12404.0,10004.0,2400.0,19.0,482.0,124.0,399.0,2359.0,23.0,1811.0,10.4,53.0
Mar 2025,12563.0,10247.0,2316.0,18.0,551.0,164.0,446.0,2258.0,23.0,1740.0,9.97,80.0
