index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2518.0,2065.0,452.0,18.0,14.0,12.0,65.0,390.0,24.0,294.0,1.66
Jun 2022,2822.0,2279.0,543.0,19.0,101.0,12.0,68.0,564.0,22.0,441.0,2.49
Sep 2022,2986.0,2386.0,600.0,20.0,123.0,15.0,70.0,638.0,23.0,491.0,2.77
Dec 2022,3043.0,2434.0,609.0,20.0,101.0,19.0,71.0,620.0,23.0,477.0,2.69
Mar 2023,2678.0,2268.0,410.0,15.0,121.0,32.0,102.0,396.0,26.0,293.0,1.7
Jun 2023,3130.0,2526.0,605.0,19.0,110.0,24.0,97.0,593.0,23.0,457.0,2.62
Sep 2023,3204.0,2543.0,661.0,21.0,117.0,28.0,98.0,651.0,22.0,507.0,2.91
Dec 2023,3255.0,2588.0,667.0,20.0,127.0,36.0,97.0,661.0,23.0,506.0,2.9
Mar 2024,2815.0,2348.0,466.0,17.0,129.0,35.0,107.0,453.0,25.0,341.0,1.97
Jun 2024,3349.0,2694.0,655.0,20.0,129.0,33.0,109.0,642.0,23.0,494.0,2.82
Sep 2024,3029.0,2476.0,553.0,18.0,152.0,47.0,111.0,546.0,24.0,418.0,2.4
Dec 2024,3355.0,2673.0,682.0,20.0,129.0,44.0,109.0,658.0,22.0,516.0,2.95
Mar 2025,2830.0,2403.0,427.0,15.0,141.0,39.0,117.0,412.0,24.0,313.0,1.81
