index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,971.0,633.0,338.0,35.0,17.0,2.0,84.0,269.0,18.0,220.0,4.95
Mar 2022,770.0,612.0,158.0,21.0,25.0,2.0,83.0,98.0,-262.0,354.0,8.07
Jun 2022,773.0,604.0,169.0,22.0,6.0,2.0,88.0,85.0,14.0,73.0,1.67
Sep 2022,814.0,621.0,193.0,24.0,42.0,2.0,48.0,186.0,3.0,180.0,4.17
Dec 2022,983.0,689.0,294.0,30.0,7.0,2.0,47.0,251.0,7.0,233.0,5.38
Mar 2023,836.0,636.0,199.0,24.0,14.0,1.0,64.0,148.0,4.0,142.0,3.27
Jun 2023,826.0,636.0,190.0,23.0,8.0,2.0,46.0,150.0,9.0,137.0,3.14
Sep 2023,865.0,632.0,233.0,27.0,11.0,2.0,46.0,196.0,8.0,180.0,4.09
Dec 2023,996.0,682.0,314.0,32.0,11.0,3.0,46.0,276.0,6.0,261.0,5.92
Mar 2024,891.0,682.0,209.0,24.0,11.0,3.0,48.0,169.0,13.0,147.0,3.41
Jun 2024,906.0,692.0,214.0,24.0,10.0,2.0,44.0,178.0,16.0,151.0,3.5
Sep 2024,891.0,645.0,246.0,28.0,22.0,2.0,45.0,220.0,4.0,211.0,4.87
Dec 2024,1049.0,715.0,334.0,32.0,15.0,2.0,46.0,301.0,7.0,279.0,6.39
