index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,34,3741,2373,2171,8320,5121,167,136,2895,8320
Mar 2015,34,4277,2717,2097,9125,5551,225,186,3164,9125
Mar 2016,34,4233,2891,2521,9679,5931,44,190,3514,9679
Mar 2017,34,5268,4001,3637,12940,8083,97,934,3826,12940
Mar 2018,68,6190,3508,4098,13864,8315,84,997,4468,13864
Mar 2019,102,7165,3382,3445,14094,8670,52,516,4855,14094
Mar 2020,102,7796,3575,3407,14880,9231,57,672,4920,14880
Mar 2021,102,9337,1864,2941,14244,8905,57,679,4602,14244
Mar 2022,102,11454,1704,2822,16082,9219,116,1015,5731,16082
Mar 2023,102,13692,1130,2513,17437,9934,45,3029,4429,17437
Mar 2024,102,12496,3222,2571,18392,10440,83,3504,4365,18392
Mar 2025,102,11902,4004,3663,19672,10682,458,3645,4887,19672
