index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,7599.0,6430.0,1169.0,15.0,62.0,120.0,82.0,1030.0,20.0,819.0,7.44,24.0
Mar 2015,8273.0,6894.0,1379.0,17.0,73.0,112.0,91.0,1249.0,22.0,976.0,8.88,21.0
Mar 2016,8424.0,6766.0,1657.0,20.0,-262.0,128.0,101.0,1167.0,29.0,831.0,8.1,24.0
Mar 2017,9268.0,7361.0,1907.0,21.0,76.0,154.0,142.0,1687.0,22.0,1308.0,12.76,39.0
Mar 2018,9847.0,7763.0,2084.0,21.0,283.0,173.0,156.0,2039.0,20.0,1634.0,15.99,42.0
Mar 2019,10314.0,8183.0,2132.0,21.0,362.0,238.0,170.0,2085.0,-12.0,2342.0,22.91,44.0
Mar 2020,9911.0,7757.0,2154.0,22.0,32.0,228.0,197.0,1760.0,15.0,1497.0,14.64,55.0
Mar 2021,11029.0,8629.0,2399.0,22.0,23.0,138.0,204.0,2080.0,17.0,1721.0,16.83,0.0
Mar 2022,12276.0,9867.0,2409.0,20.0,78.0,122.0,210.0,2155.0,17.0,1783.0,17.44,0.0
Mar 2023,13316.0,10873.0,2443.0,18.0,114.0,188.0,236.0,2133.0,20.0,1702.0,16.65,0.0
Mar 2024,14096.0,11139.0,2957.0,21.0,-2209.0,310.0,241.0,198.0,383.0,-561.0,-5.48,-274.0
Mar 2025,14364.0,11361.0,3003.0,21.0,253.0,350.0,234.0,2672.0,31.0,1852.0,18.11,110.0
