index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2916.0,2453.0,463.0,16.0,3.0,33.0,50.0,384.0,5.0,363.0,3.55
Jun 2022,3125.0,2604.0,521.0,17.0,26.0,35.0,57.0,454.0,24.0,345.0,3.37
Sep 2022,3392.0,2850.0,542.0,16.0,17.0,48.0,53.0,458.0,22.0,359.0,3.51
Dec 2022,3599.0,2872.0,727.0,20.0,36.0,40.0,57.0,665.0,18.0,546.0,5.34
Mar 2023,3200.0,2559.0,641.0,20.0,36.0,53.0,69.0,556.0,19.0,452.0,4.42
Jun 2023,3449.0,2806.0,643.0,19.0,-13.0,74.0,76.0,480.0,34.0,319.0,3.12
Sep 2023,3602.0,2898.0,704.0,20.0,53.0,77.0,61.0,619.0,30.0,433.0,4.23
Dec 2023,3660.0,2819.0,841.0,23.0,63.0,67.0,54.0,783.0,26.0,581.0,5.68
Mar 2024,3386.0,2630.0,756.0,22.0,-2312.0,78.0,50.0,-1684.0,12.0,-1893.0,-18.51
Jun 2024,3332.0,2607.0,724.0,22.0,57.0,88.0,49.0,644.0,30.0,451.0,4.41
Sep 2024,3666.0,2907.0,760.0,21.0,80.0,83.0,50.0,707.0,30.0,491.0,4.8
Dec 2024,3768.0,3012.0,756.0,20.0,77.0,90.0,62.0,682.0,27.0,498.0,4.87
Mar 2025,3598.0,2839.0,759.0,21.0,42.0,90.0,73.0,639.0,36.0,412.0,4.03
