index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,216,3321,46,10171,13754,2746,373,2838,7797,13754
Mar 2015,216,3811,43,10359,14430,2821,516,3025,8067,14430
Mar 2016,216,6357,177,8043,14793,3258,408,2592,8535,14793
Mar 2017,216,6528,277,8685,15706,4419,229,3794,7264,15706
Mar 2018,216,7065,0,10581,17862,4528,461,2873,10000,17862
Mar 2019,216,7651,99,10663,18629,4715,406,2716,10792,18629
Mar 2020,216,8013,0,11924,20153,5479,597,1255,12822,20153
Mar 2021,235,47439,0,21066,68740,51443,745,2709,13843,68740
Mar 2022,235,48826,1043,20402,70506,51473,1313,3521,14199,70506
Mar 2023,235,50069,1219,21554,73077,52678,1132,2882,16385,73077
Mar 2024,235,50983,1484,25787,78489,53744,1025,4625,19095,78489
Mar 2025,235,49167,1648,28830,79880,54335,1009,3810,20726,79880
