index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,29234.0,24475.0,4759.0,16.0,792.0,41.0,296.0,5215.0,24.0,3956.0,18.24,71.0
Mar 2015,31972.0,26560.0,5412.0,17.0,1247.0,18.0,322.0,6320.0,31.0,4376.0,20.17,74.0
Mar 2016,32186.0,26276.0,5910.0,18.0,486.0,17.0,353.0,6026.0,31.0,4151.0,19.18,83.0
Mar 2017,33162.0,26834.0,6328.0,19.0,606.0,35.0,432.0,6467.0,31.0,4490.0,20.68,82.0
Mar 2018,35545.0,28046.0,7499.0,21.0,353.0,26.0,520.0,7306.0,28.0,5227.0,24.09,83.0
Mar 2019,39310.0,30430.0,8880.0,23.0,322.0,33.0,565.0,8604.0,30.0,6060.0,27.97,78.0
Mar 2020,39783.0,29922.0,9861.0,25.0,424.0,118.0,1002.0,9165.0,26.0,6756.0,31.17,80.0
Mar 2021,47028.0,35402.0,11626.0,25.0,170.0,117.0,1074.0,10605.0,25.0,7999.0,34.03,119.0
Mar 2022,52446.0,39589.0,12857.0,25.0,219.0,106.0,1091.0,11879.0,25.0,8892.0,37.79,90.0
Mar 2023,60580.0,46433.0,14147.0,23.0,448.0,114.0,1137.0,13344.0,24.0,10143.0,43.07,91.0
Mar 2024,61896.0,47237.0,14659.0,24.0,817.0,334.0,1216.0,13926.0,26.0,10282.0,43.74,96.0
Mar 2025,63121.0,48278.0,14843.0,24.0,1322.0,395.0,1355.0,14415.0,26.0,10671.0,45.32,117.0
