index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,13767.0,10466.0,3301.0,24.0,136.0,38.0,278.0,3121.0,26.0,2307.0,9.81
Jun 2022,14624.0,11222.0,3402.0,23.0,121.0,28.0,281.0,3214.0,26.0,2391.0,10.13
Sep 2022,15144.0,11665.0,3479.0,23.0,80.0,28.0,272.0,3259.0,18.0,2670.0,11.34
Dec 2022,15597.0,11903.0,3694.0,24.0,7.0,29.0,293.0,3379.0,27.0,2481.0,10.53
Mar 2023,15215.0,11643.0,3572.0,23.0,240.0,29.0,291.0,3492.0,26.0,2601.0,11.07
Jun 2023,15496.0,11832.0,3664.0,24.0,146.0,50.0,286.0,3474.0,26.0,2556.0,10.87
Sep 2023,15623.0,11828.0,3795.0,24.0,178.0,88.0,297.0,3588.0,26.0,2657.0,11.3
Dec 2023,15567.0,11902.0,3665.0,24.0,184.0,91.0,313.0,3445.0,27.0,2508.0,10.68
Mar 2024,15210.0,11675.0,3535.0,23.0,309.0,105.0,320.0,3419.0,25.0,2561.0,10.89
Jun 2024,15707.0,11965.0,3742.0,24.0,209.0,93.0,329.0,3529.0,26.0,2612.0,11.11
Sep 2024,15926.0,12139.0,3787.0,24.0,203.0,110.0,338.0,3542.0,27.0,2595.0,11.03
Dec 2024,15818.0,12123.0,3695.0,23.0,740.0,112.0,341.0,3982.0,25.0,2989.0,12.7
Mar 2025,15670.0,12052.0,3618.0,23.0,171.0,80.0,347.0,3362.0,26.0,2475.0,10.49
