index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,790,22368,102,12069,35329,12140,2062,5981,15146,35329
Mar 2014,795,26442,242,13369,40848,12921,3117,7284,17526,40848
Mar 2015,802,30934,269,13948,45952,15303,2700,6943,21006,45952
Mar 2016,805,41875,84,8888,51651,15107,2560,11748,22237,51651
Mar 2017,1215,45198,46,9440,55898,15893,3730,17581,18694,55898
Mar 2018,1220,51290,36,11695,64241,16524,5508,22053,20156,64241
Mar 2019,1226,57915,13,12585,71739,19374,4136,25043,23185,71739
Mar 2020,1229,64044,277,11760,77311,21713,3256,28663,23678,77311
Mar 2021,1231,59116,271,13143,73761,23298,4011,24871,21580,73761
Mar 2022,1232,61223,249,14491,77196,24232,3226,24841,24898,77196
Mar 2023,1243,67912,306,16370,85831,25851,3003,29415,27561,85831
Mar 2024,1248,73259,303,16944,91754,27820,2861,31114,29959,91754
Sep 2024,1251,74015,304,18501,94071,29492,1387,28409,34784,94071
