index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,17108.0,11510.0,5598.0,33.0,422.0,10.0,430.0,5580.0,26.0,4127.0,3.29
Mar 2022,16556.0,10956.0,5599.0,34.0,499.0,11.0,467.0,5620.0,24.0,4266.0,3.4
Jun 2022,18489.0,12412.0,6077.0,33.0,321.0,9.0,438.0,5950.0,25.0,4472.0,3.56
Sep 2022,17108.0,10849.0,6259.0,37.0,455.0,13.0,462.0,6239.0,25.0,4682.0,3.73
Dec 2022,17705.0,11000.0,6705.0,38.0,595.0,9.0,447.0,6844.0,26.0,5080.0,4.03
Mar 2023,17635.0,11011.0,6624.0,38.0,683.0,12.0,461.0,6833.0,24.0,5243.0,4.16
Jun 2023,17164.0,10494.0,6670.0,39.0,722.0,10.0,442.0,6940.0,25.0,5190.0,4.1
Sep 2023,17774.0,11320.0,6454.0,36.0,674.0,10.0,453.0,6665.0,26.0,4965.0,3.93
Dec 2023,17195.0,10985.0,6210.0,36.0,820.0,12.0,384.0,6635.0,19.0,5407.0,4.28
Mar 2024,17923.0,11296.0,6626.0,37.0,682.0,13.0,461.0,6834.0,24.0,5191.0,4.1
Jun 2024,18457.0,11709.0,6748.0,37.0,699.0,11.0,499.0,6938.0,25.0,5177.0,4.08
Sep 2024,19990.0,13438.0,6552.0,33.0,690.0,15.0,416.0,6811.0,26.0,5054.0,3.99
Dec 2024,18790.0,12428.0,6362.0,34.0,803.0,10.0,416.0,6740.0,26.0,5013.0,3.94
