index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,64,1296,680,925,2965,888,4,311,1762,2965
Mar 2015,64,1760,428,873,3125,1076,3,284,1763,3125
Mar 2016,129,1888,331,1010,3358,1050,37,544,1727,3358
Mar 2017,129,2197,239,1059,3623,1085,11,608,1919,3623
Mar 2018,129,2414,312,1217,4072,1110,27,543,2392,4072
Mar 2019,129,2846,352,1569,4896,1300,45,450,3101,4896
Mar 2020,129,2894,338,1603,4964,1396,58,733,2777,4964
Mar 2021,129,3111,511,1675,5426,1612,24,854,2936,5426
Mar 2022,129,3219,479,1850,5677,1760,39,828,3050,5677
Mar 2023,129,3670,608,2393,6800,2246,67,1096,3391,6800
Mar 2024,129,3703,528,2993,7353,2724,44,602,3983,7353
Mar 2025,129,3846,554,3809,8338,2758,40,1590,3950,8338
