index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,4687.0,3939.0,748.0,16.0,58.0,34.0,77.0,695.0,27.0,504.0,3.76,46.0
Mar 2015,5733.0,4863.0,870.0,15.0,59.0,23.0,84.0,822.0,29.0,585.0,4.45,28.0
Mar 2016,6017.0,4966.0,1051.0,17.0,93.0,21.0,95.0,1029.0,30.0,723.0,5.51,77.0
Mar 2017,5918.0,4759.0,1159.0,20.0,96.0,17.0,90.0,1149.0,29.0,811.0,6.19,57.0
Mar 2018,6322.0,5185.0,1137.0,18.0,85.0,16.0,89.0,1117.0,26.0,827.0,6.31,67.0
Mar 2019,7334.0,6009.0,1325.0,18.0,103.0,40.0,131.0,1257.0,10.0,1131.0,8.63,55.0
Mar 2020,7315.0,5846.0,1469.0,20.0,95.0,50.0,140.0,1374.0,24.0,1043.0,7.91,85.0
Mar 2021,8048.0,6459.0,1589.0,20.0,107.0,34.0,139.0,1523.0,21.0,1199.0,9.08,83.0
Mar 2022,9512.0,7831.0,1681.0,18.0,98.0,39.0,139.0,1601.0,22.0,1255.0,9.48,97.0
Mar 2023,9764.0,7954.0,1810.0,19.0,144.0,56.0,155.0,1743.0,24.0,1322.0,10.07,45.0
Mar 2024,9653.0,7627.0,2026.0,21.0,142.0,73.0,158.0,1937.0,22.0,1502.0,11.44,83.0
Mar 2025,10831.0,8692.0,2139.0,20.0,208.0,53.0,178.0,2116.0,22.0,1658.0,12.57,83.0
