index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2161.0,1815.0,346.0,16.0,24.0,11.0,37.0,322.0,20.0,257.0,1.94
Jun 2022,2558.0,2030.0,528.0,21.0,17.0,10.0,36.0,499.0,24.0,377.0,2.87
Sep 2022,2496.0,2063.0,433.0,17.0,19.0,15.0,37.0,400.0,23.0,307.0,2.33
Dec 2022,2470.0,2014.0,456.0,18.0,40.0,14.0,39.0,443.0,25.0,333.0,2.54
Mar 2023,2240.0,1847.0,393.0,18.0,68.0,17.0,43.0,401.0,24.0,305.0,2.34
Jun 2023,2477.0,1903.0,574.0,23.0,46.0,17.0,36.0,567.0,23.0,436.0,3.3
Sep 2023,2476.0,1979.0,497.0,20.0,38.0,20.0,39.0,476.0,24.0,360.0,2.73
Dec 2023,2422.0,1909.0,513.0,21.0,43.0,19.0,42.0,495.0,22.0,386.0,2.96
Mar 2024,2278.0,1836.0,442.0,19.0,15.0,17.0,41.0,399.0,20.0,320.0,2.46
Jun 2024,2643.0,2017.0,626.0,24.0,37.0,17.0,41.0,605.0,22.0,474.0,3.58
Sep 2024,2664.0,2142.0,522.0,20.0,82.0,11.0,41.0,552.0,22.0,433.0,3.27
Dec 2024,2794.0,2261.0,533.0,19.0,42.0,13.0,44.0,518.0,22.0,406.0,3.08
Mar 2025,2730.0,2272.0,458.0,17.0,47.0,12.0,52.0,441.0,22.0,345.0,2.65
