index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,62,5787,1438,2625,9911,5181,60,611,4060,9911
Mar 2015,62,5431,1324,2641,9458,4922,47,622,3867,9458
Mar 2016,63,6184,1354,2294,9895,4662,39,1366,3828,9895
Mar 2017,63,6202,787,2499,9551,4573,63,1451,3465,9551
Mar 2018,63,6968,1068,2362,10461,4798,135,1161,4366,10461
Mar 2019,63,7269,1141,2408,10881,4913,424,1188,4355,10881
Mar 2020,92,13723,1586,3072,18473,11656,95,1323,5399,18473
Mar 2021,92,14442,1634,4050,20218,12023,113,806,7276,20218
Mar 2022,92,15050,1412,4521,21075,12599,247,797,7431,21075
Mar 2023,93,16184,1600,4886,22762,13070,295,1433,7965,22762
Mar 2024,95,15962,3477,8345,27879,19358,190,871,7461,27879
Mar 2025,99,19902,2393,9584,31978,21488,207,969,9314,31978
