index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,7738.0,6986.0,752.0,10.0,170.0,87.0,129.0,707.0,26.0,510.0,7.48,29.0
Mar 2015,7993.0,7201.0,792.0,10.0,-77.0,82.0,133.0,500.0,43.0,273.0,3.86,6.0
Mar 2016,6637.0,6271.0,366.0,6.0,38.0,117.0,117.0,170.0,118.0,-37.0,-0.08,-2572.0
Mar 2017,6780.0,5988.0,791.0,12.0,88.0,92.0,126.0,662.0,30.0,455.0,5.94,38.0
Mar 2018,6815.0,5976.0,839.0,12.0,73.0,43.0,116.0,753.0,25.0,556.0,7.56,30.0
Mar 2019,7252.0,6466.0,786.0,11.0,124.0,52.0,123.0,735.0,36.0,457.0,6.23,39.0
Mar 2020,9637.0,8345.0,1292.0,13.0,-163.0,78.0,242.0,809.0,34.0,460.0,4.8,54.0
Mar 2021,11602.0,10058.0,1544.0,13.0,91.0,69.0,255.0,1311.0,24.0,930.0,8.95,44.0
Mar 2022,12425.0,10707.0,1719.0,14.0,88.0,73.0,278.0,1456.0,26.0,1015.0,9.78,60.0
Mar 2023,13783.0,11927.0,1856.0,13.0,328.0,87.0,304.0,1794.0,25.0,1320.0,12.48,65.0
Mar 2024,15206.0,12922.0,2284.0,15.0,-81.0,130.0,377.0,1696.0,23.0,1215.0,11.63,64.0
Mar 2025,17618.0,15139.0,2479.0,14.0,188.0,290.0,601.0,1777.0,22.0,1287.0,12.92,64.0
