index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Jun 2014,140,19410,1018,9412,29980,7444,531,662,21343,29980
Jun 2015,281,23943,648,10372,35245,8275,552,869,25548,35245
Mar 2016,282,27109,1090,10859,39341,9716,611,698,28315,39341
Mar 2017,285,32664,582,12231,45762,15235,448,1306,28773,45762
Mar 2018,278,36108,557,11046,47989,18753,320,2660,26256,47989
Mar 2019,271,41095,4195,12788,58349,22888,235,2305,32921,58349
Mar 2020,543,50724,7986,23566,82819,37490,400,7066,37863,82819
Mar 2021,543,59370,6864,19270,86047,37145,312,6862,41728,86047
Mar 2022,543,61371,6343,20664,88921,35077,129,6351,47364,88921
Mar 2023,543,64862,4794,23051,93250,34619,40,5495,53096,93250
Mar 2024,543,67720,5758,24985,99006,35063,108,7137,56698,99006
Mar 2025,543,69112,6276,29613,105544,36172,59,7564,61749,105544
