index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Jun 2014,6457,-4842,-1308,307
Jun 2015,5539,-2088,-3140,311
Mar 2016,3823,-2208,-2237,-623
Mar 2017,8995,-3890,-4517,588
Mar 2018,8328,-2236,-5714,378
Mar 2019,8971,-3256,-1471,4244
Mar 2020,13359,-12332,-3168,-2141
Mar 2021,19618,-5665,-11192,2761
Mar 2022,16900,1597,-14508,3989
Mar 2023,18009,-3573,-15881,-1445
Mar 2024,22448,-6608,-15464,376
Mar 2025,22261,-4914,-18561,-1214
