index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Jun 2014,32144.0,24108.0,8035.0,25.0,677.0,114.0,681.0,7917.0,18.0,6528.0,23.25,11.0
Jun 2015,36701.0,28215.0,8486.0,23.0,1126.0,91.0,404.0,9117.0,20.0,7342.0,26.02,58.0
Mar 2016 9m,31136.0,24482.0,6654.0,21.0,871.0,74.0,410.0,7041.0,20.0,5602.0,19.86,40.0
Mar 2017,47568.0,37178.0,10390.0,22.0,1069.0,89.0,828.0,10542.0,18.0,8606.0,30.16,40.0
Mar 2018,50569.0,39323.0,11246.0,22.0,1230.0,69.0,1383.0,11024.0,21.0,8722.0,31.32,19.0
Mar 2019,60427.0,46501.0,13926.0,23.0,943.0,174.0,2073.0,12622.0,20.0,10120.0,37.31,11.0
Mar 2020,70676.0,53360.0,17316.0,24.0,589.0,505.0,3420.0,13980.0,21.0,11057.0,40.75,25.0
Mar 2021,75379.0,55331.0,20048.0,27.0,927.0,511.0,4611.0,15853.0,30.0,11169.0,41.07,24.0
Mar 2022,85651.0,65122.0,20529.0,24.0,1067.0,319.0,4326.0,16951.0,20.0,13523.0,49.74,84.0
Mar 2023,101456.0,78828.0,22628.0,22.0,1358.0,353.0,4145.0,19488.0,24.0,14845.0,54.73,88.0
Mar 2024,109913.0,85715.0,24198.0,22.0,1495.0,553.0,4173.0,20967.0,25.0,15710.0,57.86,90.0
Mar 2025,117055.0,91551.0,25504.0,22.0,2485.0,644.0,4084.0,23261.0,25.0,17399.0,64.12,94.0
