index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,286,44244,0,12436,56966,8378,961,4331,43296,56966
Mar 2015,572,50164,0,15553,66289,11346,776,2270,51897,66289
Mar 2016,1144,60600,0,13354,75098,13386,960,1892,58860,75098
Mar 2017,1144,67838,0,14166,83148,14179,1365,16423,51181,83148
Mar 2018,1088,63835,0,14426,79349,12574,1606,12163,53006,79349
Mar 2019,2170,62778,0,19118,84066,15710,1388,11261,55707,84066
Mar 2020,2122,63328,4633,21717,91800,23789,954,8792,58265,91800
Mar 2021,2124,74227,5325,25835,107511,25505,922,14205,66879,107511
Mar 2022,2098,73252,5474,35905,116729,25800,416,20324,70189,116729
Mar 2023,2069,73338,8299,40890,124596,29225,288,19478,75605,124596
Mar 2024,2071,86045,8359,40885,137360,27622,293,24623,84822,137360
Mar 2025,2073,93745,8227,43750,147795,30961,814,23541,92479,147795
