index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,9825,-2563,-3144,4118
Mar 2015,8353,999,-4935,4417
Mar 2016,10028,-885,-6813,2330
Mar 2017,11531,-14664,-6939,-10072
Mar 2018,13218,4533,-20505,-2754
Mar 2019,14841,-632,-14512,-303
Mar 2020,17003,-331,-17591,-919
Mar 2021,23224,-7373,-9786,6065
Mar 2022,23885,-6485,-24642,-7242
Mar 2023,22467,-1071,-26695,-5299
Mar 2024,25210,-5093,-17504,2613
Mar 2025,35694,-1864,-24161,9669
