index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,50133.0,36743.0,13390.0,27.0,2664.0,9.0,1317.0,14728.0,28.0,10656.0,23.31,34.0
Mar 2015,53319.0,38436.0,14883.0,28.0,3430.0,12.0,1017.0,17284.0,28.0,12372.0,26.93,55.0
Mar 2016,62441.0,45362.0,17079.0,27.0,3120.0,0.0,1459.0,18740.0,28.0,13489.0,29.36,41.0
Mar 2017,68484.0,49880.0,18604.0,27.0,3050.0,0.0,1703.0,19951.0,28.0,14353.0,31.24,41.0
Mar 2018,70522.0,51700.0,18822.0,27.0,3311.0,0.0,1863.0,20270.0,21.0,16029.0,36.69,59.0
Mar 2019,82675.0,62505.0,20170.0,24.0,2882.0,0.0,2011.0,21041.0,27.0,15410.0,35.26,60.0
Mar 2020,90791.0,68524.0,22267.0,25.0,2803.0,170.0,2893.0,22007.0,24.0,16639.0,38.96,45.0
Mar 2021,100472.0,72583.0,27889.0,28.0,2201.0,195.0,3267.0,26628.0,27.0,19423.0,45.42,59.0
Mar 2022,121641.0,90150.0,31491.0,26.0,2295.0,200.0,3476.0,30110.0,26.0,22146.0,52.56,59.0
Mar 2023,146767.0,111637.0,35130.0,24.0,2701.0,284.0,4225.0,33322.0,28.0,24108.0,58.08,58.0
Mar 2024,153670.0,117245.0,36425.0,24.0,4711.0,470.0,4678.0,35988.0,27.0,26248.0,63.2,73.0
Mar 2025,162990.0,123754.0,39236.0,24.0,3600.0,416.0,4812.0,37608.0,29.0,26750.0,64.32,67.0
