index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,32276.0,24430.0,7846.0,24.0,637.0,50.0,890.0,7543.0,24.0,5695.0,13.52
Jun 2022,34470.0,26606.0,7864.0,23.0,676.0,56.0,950.0,7534.0,29.0,5362.0,12.74
Sep 2022,36538.0,27636.0,8902.0,24.0,584.0,66.0,1029.0,8391.0,28.0,6026.0,14.31
Dec 2022,38318.0,28951.0,9367.0,24.0,769.0,80.0,1125.0,8931.0,26.0,6586.0,15.7
Mar 2023,37441.0,28443.0,8998.0,24.0,671.0,82.0,1121.0,8466.0,28.0,6134.0,14.77
Jun 2023,37933.0,28869.0,9064.0,24.0,561.0,90.0,1173.0,8362.0,29.0,5945.0,14.32
Sep 2023,38994.0,29554.0,9440.0,24.0,632.0,138.0,1166.0,8768.0,29.0,6215.0,14.97
Dec 2023,38821.0,29684.0,9137.0,24.0,789.0,131.0,1176.0,8619.0,29.0,6113.0,14.71
Mar 2024,37923.0,29139.0,8784.0,23.0,2729.0,110.0,1163.0,10240.0,22.0,7975.0,19.2
Jun 2024,39315.0,29878.0,9437.0,24.0,838.0,105.0,1149.0,9021.0,29.0,6374.0,15.34
Sep 2024,40986.0,31177.0,9809.0,24.0,712.0,108.0,1160.0,9253.0,30.0,6516.0,15.67
Dec 2024,41764.0,31649.0,10115.0,24.0,859.0,101.0,1203.0,9670.0,29.0,6822.0,16.39
Mar 2025,40925.0,31051.0,9874.0,24.0,1190.0,102.0,1299.0,9663.0,27.0,7038.0,16.93
