index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,16,1594,110,945,2666,649,57,169,1791,2666
Mar 2015,16,2010,218,734,2978,683,25,104,2166,2978
Mar 2016,17,2108,55,958,3137,638,20,43,2437,3137
Mar 2017,17,3127,0,1273,4417,542,1,941,2934,4417
Mar 2018,17,3843,0,1477,5337,681,7,1264,3385,5337
Mar 2019,17,4876,0,1770,6664,930,12,1740,3982,6664
Mar 2020,17,5387,912,2499,8815,1920,59,2219,4617,8815
Mar 2021,18,7286,798,2604,10706,1906,66,3730,5004,10706
Mar 2022,30,14258,258,6027,20572,3473,503,6048,10548,20572
Mar 2023,30,16562,1541,5348,23481,3679,902,5458,13442,23481
Mar 2024,30,19988,2071,5456,27544,4981,551,8744,13269,27544
Mar 2025,30,22669,2187,5712,30598,5285,681,9845,14787,30598
