index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,4302.0,3455.0,846.0,20.0,134.0,19.0,102.0,860.0,26.0,638.0,36.34
Jun 2022,7644.0,6151.0,1494.0,20.0,178.0,31.0,166.0,1474.0,25.0,1106.0,63.06
Sep 2022,8228.0,6592.0,1636.0,20.0,161.0,38.0,196.0,1563.0,24.0,1189.0,40.18
Dec 2022,8620.0,7245.0,1375.0,16.0,152.0,38.0,178.0,1311.0,24.0,1001.0,33.82
Mar 2023,8691.0,7087.0,1604.0,18.0,66.0,44.0,182.0,1444.0,23.0,1114.0,37.65
Jun 2023,8702.0,7067.0,1636.0,19.0,132.0,46.0,185.0,1536.0,25.0,1152.0,38.92
Sep 2023,8905.0,7274.0,1631.0,18.0,143.0,47.0,208.0,1519.0,24.0,1162.0,39.26
Dec 2023,9017.0,7432.0,1585.0,18.0,220.0,61.0,199.0,1545.0,24.0,1169.0,39.49
Mar 2024,8893.0,7357.0,1536.0,17.0,208.0,68.0,227.0,1448.0,24.0,1101.0,37.14
Jun 2024,9143.0,7536.0,1606.0,18.0,227.0,72.0,235.0,1526.0,26.0,1135.0,38.28
Sep 2024,9433.0,7734.0,1699.0,18.0,299.0,70.0,241.0,1687.0,26.0,1252.0,42.24
Dec 2024,9661.0,8068.0,1593.0,16.0,212.0,69.0,264.0,1472.0,26.0,1087.0,36.63
Mar 2025,9772.0,8176.0,1596.0,16.0,251.0,67.0,251.0,1529.0,26.0,1129.0,38.09
