index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,210,4905,540,1320,6974,2404,6,1815,2748,6974
Mar 2015,210,5270,575,1312,7367,2334,20,1443,3569,7367
Mar 2016,210,5645,461,1092,7408,1597,56,2122,3633,7408
Mar 2017,210,5942,260,889,7301,1921,1,2396,2983,7301
Mar 2018,193,5289,390,1109,6980,1884,2,1782,3312,6980
Mar 2019,186,5064,543,1576,7368,2170,3,1329,3866,7368
Mar 2020,187,5643,571,2339,8740,3013,17,1326,4384,8740
Mar 2021,187,6340,513,2324,9365,3020,3,1846,4496,9365
Mar 2022,188,6755,527,3214,10684,3774,11,1813,5087,10684
Mar 2023,188,7746,198,3373,11506,4060,32,1753,5662,11506
Mar 2024,189,8606,1544,3662,14000,5533,61,3090,5316,14000
Mar 2025,190,9438,1888,3390,14907,5781,0,2208,6917,14907
