index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014 5m,2594.0,2154.0,440.0,17.0,44.0,11.0,50.0,422.0,28.0,303.0,14.4,49.0
Mar 2015,5795.0,4925.0,870.0,15.0,194.0,28.0,98.0,938.0,28.0,675.0,32.1,50.0
Mar 2016,6081.0,5218.0,863.0,14.0,172.0,24.0,121.0,890.0,29.0,632.0,30.05,67.0
Mar 2017,6076.0,5108.0,969.0,16.0,223.0,14.0,79.0,1099.0,28.0,792.0,37.62,45.0
Mar 2018,6546.0,5483.0,1062.0,16.0,149.0,13.0,71.0,1128.0,26.0,838.0,43.34,46.0
Mar 2019,7731.0,6407.0,1324.0,17.0,177.0,17.0,76.0,1407.0,24.0,1073.0,57.64,47.0
Mar 2020,8844.0,7193.0,1650.0,19.0,178.0,81.0,232.0,1515.0,22.0,1185.0,63.52,55.0
Mar 2021,9722.0,7919.0,1803.0,19.0,133.0,63.0,242.0,1631.0,25.0,1217.0,65.06,100.0
Mar 2022,11961.0,9844.0,2118.0,18.0,160.0,74.0,291.0,1913.0,25.0,1431.0,76.19,60.0
Mar 2023,13798.0,11365.0,2434.0,18.0,162.0,97.0,325.0,2173.0,25.0,1638.0,86.94,58.0
Mar 2024,13279.0,10857.0,2422.0,18.0,218.0,161.0,410.0,2068.0,25.0,1555.0,82.27,67.0
Mar 2025,14230.0,11583.0,2647.0,19.0,255.0,166.0,476.0,2260.0,25.0,1702.0,89.55,64.0
