index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,3278.0,2701.0,577.0,18.0,39.0,21.0,80.0,516.0,24.0,392.0,20.88
Jun 2022,3411.0,2811.0,600.0,18.0,36.0,23.0,80.0,533.0,25.0,402.0,21.37
Sep 2022,3520.0,2902.0,618.0,18.0,43.0,26.0,80.0,555.0,25.0,418.0,22.24
Dec 2022,3506.0,2889.0,618.0,18.0,40.0,24.0,82.0,551.0,25.0,412.0,21.89
Mar 2023,3361.0,2763.0,599.0,18.0,43.0,24.0,83.0,534.0,24.0,405.0,21.51
Jun 2023,3252.0,2665.0,587.0,18.0,50.0,24.0,87.0,526.0,25.0,396.0,21.01
Sep 2023,3276.0,2681.0,596.0,18.0,49.0,34.0,89.0,522.0,25.0,392.0,20.78
Dec 2023,3338.0,2737.0,601.0,18.0,54.0,53.0,103.0,499.0,25.0,374.0,19.79
Mar 2024,3412.0,2773.0,639.0,19.0,64.0,50.0,131.0,522.0,25.0,393.0,20.81
Jun 2024,3422.0,2804.0,619.0,18.0,74.0,50.0,105.0,537.0,25.0,405.0,21.39
Sep 2024,3536.0,2888.0,648.0,18.0,59.0,40.0,104.0,563.0,25.0,423.0,22.37
Dec 2024,3561.0,2883.0,678.0,19.0,63.0,39.0,132.0,569.0,25.0,428.0,22.56
Mar 2025,3710.0,3007.0,703.0,19.0,60.0,36.0,135.0,591.0,24.0,446.0,23.49
