index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,40,1182,3,318,1543,408,31,489,615,1543
Mar 2015,80,1326,4,365,1775,408,4,674,689,1775
Mar 2016,80,1578,3,459,2120,437,27,638,1018,2120
Mar 2017,80,1819,3,433,2335,536,29,684,1086,2335
Mar 2018,80,2047,2,514,2644,512,5,880,1247,2644
Mar 2019,79,2266,2,509,2856,401,32,764,1659,2856
Mar 2020,76,2309,71,635,3092,432,30,979,1652,3092
Mar 2021,76,2719,98,771,3666,457,12,1000,2197,3666
Mar 2022,76,3292,578,1473,5419,1534,107,822,2956,5419
Mar 2023,76,3889,658,2050,6673,2341,16,640,3676,6673
Mar 2024,77,4881,451,1963,7372,2221,34,827,4290,7372
Mar 2025,78,6241,311,2107,8737,2614,4,980,5138,8737
