index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,1669.0,1255.0,415.0,25.0,31.0,0.0,103.0,343.0,27.0,249.0,15.58,19.0
Mar 2015,1891.0,1501.0,390.0,21.0,94.0,0.0,94.0,390.0,25.0,291.0,18.16,41.0
Mar 2016,2312.0,1921.0,392.0,17.0,77.0,0.0,99.0,370.0,25.0,277.0,17.33,23.0
Mar 2017,2878.0,2413.0,465.0,16.0,84.0,0.0,149.0,401.0,25.0,301.0,18.84,24.0
Mar 2018,3034.0,2565.0,469.0,15.0,119.0,0.0,158.0,429.0,25.0,323.0,20.19,25.0
Mar 2019,3366.0,2810.0,556.0,17.0,88.0,0.0,157.0,486.0,28.0,352.0,21.98,25.0
Mar 2020,3566.0,3073.0,493.0,14.0,132.0,6.0,166.0,452.0,25.0,340.0,22.26,27.0
Mar 2021,4188.0,3505.0,683.0,16.0,108.0,6.0,176.0,609.0,26.0,451.0,29.48,34.0
Mar 2022,5711.0,4753.0,958.0,17.0,144.0,12.0,166.0,924.0,25.0,690.0,45.15,34.0
Mar 2023,8351.0,6831.0,1519.0,18.0,41.0,47.0,272.0,1241.0,26.0,921.0,60.24,41.0
Mar 2024,9822.0,8146.0,1676.0,17.0,128.0,47.0,309.0,1448.0,24.0,1093.0,70.98,37.0
Mar 2025,11939.0,9881.0,2058.0,17.0,138.0,67.0,307.0,1822.0,23.0,1400.0,90.54,39.0
