index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,1638.0,1357.0,281.0,17.0,42.0,5.0,51.0,267.0,25.0,201.0,13.15
Jun 2022,1878.0,1545.0,333.0,18.0,21.0,8.0,65.0,282.0,25.0,212.0,13.84
Sep 2022,2049.0,1681.0,368.0,18.0,8.0,11.0,69.0,296.0,26.0,220.0,14.39
Dec 2022,2169.0,1768.0,402.0,19.0,3.0,14.0,68.0,323.0,26.0,238.0,15.56
Mar 2023,2254.0,1838.0,416.0,18.0,9.0,15.0,70.0,341.0,26.0,252.0,16.45
Jun 2023,2321.0,1947.0,374.0,16.0,22.0,13.0,76.0,307.0,25.0,229.0,14.86
Sep 2023,2412.0,2007.0,405.0,17.0,37.0,12.0,74.0,356.0,26.0,263.0,17.11
Dec 2023,2498.0,2056.0,442.0,18.0,38.0,12.0,79.0,389.0,26.0,286.0,18.59
Mar 2024,2591.0,2136.0,454.0,18.0,31.0,10.0,80.0,395.0,20.0,315.0,20.47
Jun 2024,2737.0,2282.0,455.0,17.0,31.0,14.0,71.0,401.0,24.0,306.0,19.89
Sep 2024,2897.0,2416.0,481.0,17.0,47.0,18.0,74.0,435.0,25.0,325.0,21.02
Dec 2024,3062.0,2524.0,538.0,18.0,43.0,16.0,82.0,482.0,23.0,373.0,24.12
Mar 2025,3242.0,2658.0,584.0,18.0,18.0,18.0,79.0,505.0,22.0,396.0,25.59
