index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2012,146.0,123.0,22.0,15.0,-2.0,1.0,5.0,14.0,25.0,8.0,1.33
Jun 2012,146.0,133.0,13.0,9.0,-2.0,1.0,5.0,5.0,29.0,3.0,0.42
Sep 2012,155.0,135.0,20.0,13.0,-10.0,1.0,6.0,3.0,37.0,2.0,0.29
Dec 2012,157.0,140.0,16.0,11.0,4.0,1.0,6.0,13.0,31.0,9.0,1.4
Mar 2013,163.0,141.0,22.0,14.0,-3.0,1.0,6.0,13.0,36.0,8.0,1.31
Jun 2013,173.0,160.0,13.0,8.0,7.0,1.0,6.0,14.0,36.0,9.0,1.43
Sep 2013,190.0,158.0,32.0,17.0,7.0,1.0,8.0,30.0,34.0,20.0,3.2
Dec 2013,200.0,157.0,44.0,22.0,-1.0,0.0,9.0,33.0,34.0,22.0,3.46
Mar 2014,212.0,165.0,47.0,22.0,0.0,0.0,12.0,35.0,38.0,22.0,3.51
Jun 2014,191.0,153.0,38.0,20.0,2.0,0.0,9.0,31.0,33.0,21.0,3.34
Sep 2014,206.0,164.0,42.0,20.0,1.0,0.0,8.0,35.0,33.0,24.0,3.79
Dec 2014,221.0,171.0,50.0,23.0,0.0,0.0,7.0,43.0,36.0,28.0,4.46
Mar 2015,231.0,184.0,47.0,20.0,-1.0,0.0,1.0,45.0,34.0,30.0,4.79
