index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,196,48999,297,17337,66829,9544,3168,3434,50682,66829
Mar 2015,196,50439,358,22325,73318,11638,2766,1662,57252,73318
Mar 2016,197,70875,245,16974,88291,11774,1670,22822,52025,88291
Mar 2017,197,86017,289,15830,102333,11701,1541,41980,47111,102333
Mar 2018,191,84937,247,19751,105126,11973,1278,36008,55867,105126
Mar 2019,375,89071,62,24393,113901,12290,963,29330,71318,113901
Mar 2020,375,83751,8174,27827,120127,20928,906,26356,71937,120127
Mar 2021,370,86063,7795,35764,129992,21021,926,29373,78672,129992
Mar 2022,366,88773,7818,43967,140924,21298,1205,30485,87936,140924
Mar 2023,366,90058,7688,44747,142859,20515,1234,37163,83947,142859
Mar 2024,362,90127,8021,46962,145472,19604,1564,31762,92542,145472
Mar 2025,362,94394,9392,54501,158649,23053,1546,30964,103086,158649
