index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,14751,-9452,-5673,-374
Mar 2015,19369,-1807,-17168,394
Mar 2016,19109,-5010,-9666,4433
Mar 2017,25223,-16895,-11026,-2698
Mar 2018,25067,3104,-26885,1286
Mar 2019,28593,1645,-27897,2341
Mar 2020,32369,8968,-39915,1422
Mar 2021,38802,-7956,-32634,-1788
Mar 2022,39949,-738,-33581,5630
Mar 2023,41965,548,-47878,-5365
Mar 2024,44338,6091,-48536,1893
Mar 2025,48908,-2144,-47438,-674
