index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,81809.0,56657.0,25153.0,31.0,1637.0,39.0,1349.0,25402.0,24.0,19332.0,48.92,33.0
Mar 2015,94648.0,70167.0,24482.0,26.0,3720.0,104.0,1799.0,26298.0,24.0,20060.0,50.68,78.0
Mar 2016,108646.0,77969.0,30677.0,28.0,3084.0,33.0,1888.0,31840.0,24.0,24338.0,61.58,35.0
Mar 2017,117966.0,85655.0,32311.0,27.0,4221.0,32.0,1987.0,34513.0,24.0,26357.0,66.71,35.0
Mar 2018,123104.0,90588.0,32516.0,26.0,3642.0,52.0,2014.0,34092.0,24.0,25880.0,67.46,37.0
Mar 2019,146463.0,106957.0,39506.0,27.0,4311.0,198.0,2056.0,41563.0,24.0,31562.0,83.87,36.0
Mar 2020,156949.0,114840.0,42109.0,27.0,4592.0,924.0,3529.0,42248.0,23.0,32447.0,86.19,85.0
Mar 2021,164177.0,117631.0,46546.0,28.0,1916.0,637.0,4065.0,43760.0,26.0,32562.0,87.67,43.0
Mar 2022,191754.0,138697.0,53057.0,28.0,4018.0,784.0,4604.0,51687.0,26.0,38449.0,104.75,41.0
Mar 2023,225458.0,166199.0,59259.0,26.0,3449.0,779.0,5022.0,56907.0,26.0,42303.0,115.19,100.0
Mar 2024,240893.0,176597.0,64296.0,27.0,3464.0,778.0,4985.0,61997.0,26.0,46099.0,126.88,58.0
Mar 2025,255324.0,187917.0,67407.0,26.0,3962.0,796.0,5242.0,65331.0,25.0,48797.0,134.2,92.0
