index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,50591.0,36746.0,13845.0,27.0,981.0,245.0,1217.0,13364.0,25.0,9959.0,27.13
Jun 2022,52758.0,39342.0,13416.0,25.0,789.0,199.0,1230.0,12776.0,25.0,9519.0,25.9
Sep 2022,55309.0,40793.0,14516.0,26.0,965.0,148.0,1237.0,14096.0,26.0,10465.0,28.51
Dec 2022,58229.0,42676.0,15553.0,27.0,520.0,160.0,1269.0,14644.0,26.0,10883.0,29.64
Mar 2023,59162.0,43388.0,15774.0,27.0,1175.0,272.0,1286.0,15391.0,26.0,11436.0,31.13
Jun 2023,59381.0,44383.0,14998.0,25.0,1397.0,163.0,1243.0,14989.0,26.0,11120.0,30.26
Sep 2023,59692.0,43946.0,15746.0,26.0,1006.0,159.0,1263.0,15330.0,26.0,11380.0,31.0
Dec 2023,60583.0,44195.0,16388.0,27.0,-96.0,230.0,1233.0,14829.0,25.0,11097.0,30.56
Mar 2024,61237.0,44073.0,17164.0,28.0,1157.0,226.0,1246.0,16849.0,26.0,12502.0,34.37
Jun 2024,62613.0,45951.0,16662.0,27.0,962.0,173.0,1220.0,16231.0,25.0,12105.0,33.28
Sep 2024,64259.0,47528.0,16731.0,26.0,729.0,162.0,1266.0,16032.0,25.0,11955.0,32.92
Dec 2024,63973.0,46939.0,17034.0,27.0,1243.0,234.0,1377.0,16666.0,25.0,12444.0,34.22
Mar 2025,64479.0,47499.0,16980.0,26.0,1028.0,227.0,1379.0,16402.0,25.0,12293.0,33.79
