index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,234,8948,363,6394,15940,2594,266,1472,11607,15940
Mar 2015,480,11768,700,6899,19848,4033,568,2103,13145,19848
Mar 2016,436,14155,1091,6843,22525,4309,629,1297,16289,22525
Mar 2017,439,15998,1366,8254,26057,6460,373,2396,16828,26057
Mar 2018,442,18401,2397,9192,30431,7622,240,4841,17728,30431
Mar 2019,444,19841,1996,11166,33446,7061,276,7342,18766,33446
Mar 2020,436,21377,3670,11834,37318,8872,50,5848,22548,37318
Mar 2021,437,24428,2901,11836,39602,9018,118,10238,20228,39602
Mar 2022,439,26447,2618,14911,44416,14784,165,4884,24583,44416
Mar 2023,440,27484,2740,15162,45827,14932,120,3388,27388,45827
Mar 2024,441,26228,2537,13943,43149,13903,133,3238,25875,43149
Mar 2025,442,26919,2025,15108,44494,13982,21,3182,27310,44494
